"","b","se","b","se"
"indicator","","","",""
"Ln ALU","-0.2895","0.0033","-0.1812","0.0021"
"Ln Pay","0.2584","0.0028","0.1618","0.0018"
"Age 3-4","-0.0987","0.0070","-0.0616","0.0043"
"Age 5-7","-0.0973","0.0066","-0.0608","0.0041"
"Age 8-12","-0.1172","0.0063","-0.0733","0.0039"
"Age 13 or more","-0.1487","0.0059","-0.0930","0.0037"
"N","2121956","","2121956",""
"pseudo R-sq","0.0038","","0.0038",""
"pMSE","0.0013","","0.0013",""
