job_creation_ori;year;job_creation_syn
10.5640913682856;1992;29.22995578436485
12.38008575937432;1993;24.74054157896717
12.40125560741304;1994;20.42273596682378
12.71968152199252;1995;19.27453472080316
12.0437413662677;1996;18.38911291507941
13.06831464802456;1997;19.83909508832653
12.71919014953673;1998;18.45318074201145
12.25965374978385;1999;16.6253370098957
13.11261501285261;2000;18.4171084919825
12.6819796004084;2001;17.3720746213462
11.72431402761826;2002;20.85721070703528
11.07788256496159;2003;16.004038942107
10.97778202031924;2004;15.52964944493453
10.837471325114;2005;14.93299391831826
11.38369154379938;2006;16.16233731057264
11.40223537871103;2007;15.80317154764543
10.07442590291352;2008;15.2416495036249
8.102509453640554;2009;12.04081134256967
9.260643689926445;2010;14.57957592729429
9.772080278632956;2011;14.63540253998232
9.871693848337937;2012;13.4707222587366
9.157203142538874;2013;12.64214240846258
9.356219131691727;2014;12.22262695527547
