ori_pay;year;syn_pay
52.877769428;1991;40.895151729
52.958726191;1992;43.549779552
54.183420722;1993;42.936903724
57.420699248;1994;44.062881679
61.244947257;1995;47.744058511
63.521475714;1996;48.389454248
68.033397149;1997;56.068789995
72.064466626;1998;55.011815135
76.777376815;1999;55.121171652
83.20322747100001;2000;59.536570587
82.986801063;2001;60.605706696
83.862282021;2002;61.662387344
86.76858025600001;2003;65.096513614
88.377382133;2004;66.88929029400001
90.5598593;2005;67.244067032
90.101424815;2006;68.348893249
91.059187235;2007;71.491854277
88.459470244;2008;69.884235104
78.92546649800001;2009;63.443328642
80.030534252;2010;63.691278546
83.771442085;2011;66.246154418
86.921680279;2012;68.072682059
89.212874365;2013;69.307077714
92.185241195;2014;58.429686562
