__000000;__000001
0;0
.0033444816053512;.0033444816053512
.0066889632107023;.0066889632107023
.0100334448160535;.0100334448160535
.0133779264214047;.0133779264214047
.0167224080267559;.0167224080267559
.020066889632107;.020066889632107
.0234113712374582;.0234113712374582
.0267558528428094;.0267558528428094
.0301003344481605;.0301003344481605
.0334448160535117;.0334448160535117
.0367892976588629;.0367892976588629
.040133779264214;.040133779264214
.0434782608695652;.0434782608695652
.0468227424749164;.0468227424749164
.0501672240802676;.0501672240802676
.0535117056856187;.0535117056856187
.0568561872909699;.0568561872909699
.0602006688963211;.0602006688963211
.0635451505016722;.0635451505016722
.0668896321070234;.0668896321070234
.0702341137123746;.0702341137123746
.0735785953177257;.0735785953177257
.0769230769230769;.0769230769230769
.0802675585284281;.0802675585284281
.0836120401337793;.0836120401337793
.0869565217391304;.0869565217391304
.0903010033444816;.0903010033444816
.0936454849498328;.0936454849498328
.096989966555184;.096989966555184
.1003344481605351;.1003344481605351
.1036789297658863;.1036789297658863
.1070234113712375;.1070234113712375
.1103678929765886;.1103678929765886
.1137123745819398;.1137123745819398
.117056856187291;.117056856187291
.1204013377926421;.1204013377926421
.1237458193979933;.1237458193979933
.1270903010033445;.1270903010033445
.1304347826086956;.1304347826086956
.1337792642140468;.1337792642140468
.137123745819398;.137123745819398
.1404682274247492;.1404682274247492
.1438127090301003;.1438127090301003
.1471571906354515;.1471571906354515
.1505016722408027;.1505016722408027
.1538461538461539;.1538461538461539
.157190635451505;.157190635451505
.1605351170568562;.1605351170568562
.1638795986622074;.1638795986622074
.1672240802675585;.1672240802675585
.1705685618729097;.1705685618729097
.1739130434782609;.1739130434782609
.177257525083612;.177257525083612
.1806020066889632;.1806020066889632
.1839464882943144;.1839464882943144
.1872909698996655;.1872909698996655
.1906354515050167;.1906354515050167
.1939799331103679;.1939799331103679
.1973244147157191;.1973244147157191
.2006688963210702;.2006688963210702
.2040133779264214;.2040133779264214
.2073578595317726;.2073578595317726
.2107023411371237;.2107023411371237
.2140468227424749;.2140468227424749
.2173913043478261;.2173913043478261
.2207357859531772;.2207357859531772
.2240802675585284;.2240802675585284
.2274247491638796;.2274247491638796
.2307692307692308;.2307692307692308
.2341137123745819;.2341137123745819
.2374581939799331;.2374581939799331
.2408026755852843;.2408026755852843
.2441471571906355;.2441471571906355
.2474916387959866;.2474916387959866
.2508361204013378;.2508361204013378
.254180602006689;.254180602006689
.2575250836120401;.2575250836120401
.2608695652173913;.2608695652173913
.2642140468227425;.2642140468227425
.2675585284280936;.2675585284280936
.2709030100334448;.2709030100334448
.274247491638796;.274247491638796
.2775919732441471;.2775919732441471
.2809364548494983;.2809364548494983
.2842809364548495;.2842809364548495
.2876254180602006;.2876254180602006
.2909698996655518;.2909698996655518
.294314381270903;.294314381270903
.2976588628762541;.2976588628762541
.3010033444816054;.3010033444816054
.3043478260869565;.3043478260869565
.3076923076923077;.3076923076923077
.3110367892976589;.3110367892976589
.31438127090301;.31438127090301
.3177257525083612;.3177257525083612
.3210702341137124;.3210702341137124
.3244147157190636;.3244147157190636
.3277591973244147;.3277591973244147
.3311036789297659;.3311036789297659
.3344481605351171;.3344481605351171
.3377926421404682;.3377926421404682
.3411371237458194;.3411371237458194
.3444816053511706;.3444816053511706
.3478260869565217;.3478260869565217
.3511705685618729;.3511705685618729
.3545150501672241;.3545150501672241
.3578595317725752;.3578595317725752
.3612040133779264;.3612040133779264
.3645484949832776;.3645484949832776
.3678929765886287;.3678929765886287
.3712374581939799;.3712374581939799
.3745819397993311;.3745819397993311
.3779264214046822;.3779264214046822
.3812709030100334;.3812709030100334
.3846153846153846;.3846153846153846
.3879598662207358;.3879598662207358
.391304347826087;.391304347826087
.3946488294314381;.3946488294314381
.3979933110367893;.3979933110367893
.4013377926421405;.4013377926421405
.4046822742474916;.4046822742474916
.4080267558528428;.4080267558528428
.411371237458194;.411371237458194
.4147157190635452;.4147157190635452
.4180602006688963;.4180602006688963
.4214046822742475;.4214046822742475
.4247491638795987;.4247491638795987
.4280936454849498;.4280936454849498
.431438127090301;.431438127090301
.4347826086956522;.4347826086956522
.4381270903010033;.4381270903010033
.4414715719063545;.4414715719063545
.4448160535117057;.4448160535117057
.4481605351170568;.4481605351170568
.451505016722408;.451505016722408
.4548494983277592;.4548494983277592
.4581939799331103;.4581939799331103
.4615384615384615;.4615384615384615
.4648829431438127;.4648829431438127
.4682274247491638;.4682274247491638
.4715719063545151;.4715719063545151
.4749163879598662;.4749163879598662
.4782608695652174;.4782608695652174
.4816053511705686;.4816053511705686
.4849498327759197;.4849498327759197
.4882943143812709;.4882943143812709
.4916387959866221;.4916387959866221
.4949832775919732;.4949832775919732
.4983277591973244;.4983277591973244
.5016722408026756;.5016722408026756
.5050167224080268;.5050167224080268
.5083612040133779;.5083612040133779
.5117056856187291;.5117056856187291
.5150501672240803;.5150501672240803
.5183946488294314;.5183946488294314
.5217391304347826;.5217391304347826
.5250836120401338;.5250836120401338
.5284280936454849;.5284280936454849
.5317725752508361;.5317725752508361
.5351170568561873;.5351170568561873
.5384615384615384;.5384615384615384
.5418060200668896;.5418060200668896
.5451505016722408;.5451505016722408
.5484949832775919;.5484949832775919
.5518394648829431;.5518394648829431
.5551839464882943;.5551839464882943
.5585284280936454;.5585284280936454
.5618729096989966;.5618729096989966
.5652173913043478;.5652173913043478
.568561872909699;.568561872909699
.5719063545150501;.5719063545150501
.5752508361204013;.5752508361204013
.5785953177257525;.5785953177257525
.5819397993311036;.5819397993311036
.5852842809364548;.5852842809364548
.588628762541806;.588628762541806
