sector,model,country,pMSE,k,N,c,pMSE.stdev,pMSE.exp,pMSE.standardized,pMSE.ratio
Manufacturing,logit,Canada,0.0041,113,2243011,0.5,8.340702267563426e-7,6.241610050062171e-6,4908.16991018893,656.881792857143
Private,logit,Canada,0.0121,307,34638723,0.5,8.927376506383463e-8,1.1042554888642979e-6,135525.76992647166,10957.609105882353
Manufacturing,probit,Canada,0.0041,113,2243011,0.5,8.340702267563426e-7,6.241610050062171e-6,4908.16991018893,656.881792857143
Private,probit,Canada,0.0124,307,34638723,0.5,8.927376506383463e-8,1.1042554888642979e-6,138886.21965977782,11229.285364705882
Universe,logit,Germany,0.0013,33,2121956,0.5234779,4.4814448707152114e-7,1.7925779482860846e-6,2896.8501443252785,725.2125360813196
Universe,probit,Germany,0.0013,33,2121956,0.5234779,4.4814448707152114e-7,1.7925779482860846e-6,2896.8501443252785,725.2125360813196
