ori_alu;year;syn_alu
1.621182914263741;1991;.931799
1.543281130652216;1992;.929217
1.528103733970668;1993;.989478
1.577940058788907;1994;1.073352
1.605067627829095;1995;1.132244
1.643821139494257;1996;1.217497
1.71184423646217;1997;1.304496
1.777786804781493;1998;1.37957
1.819661334659743;1999;1.401582
1.895253375076638;2000;1.488806
1.853320592618442;2001;1.490856
1.83242950851417;2002;1.497776
1.825341880481075;2003;1.492427
1.796931985497857;2004;1.477548
1.785777996493366;2005;1.472962
1.764699192476016;2006;1.49955
1.714142628999245;2007;1.458937
1.628608427563966;2008;1.400307
1.471903147490096;2009;1.268335
1.463588921541537;2010;1.224885
1.48721632155416;2011;1.235005
1.513368589540781;2012;1.234974
1.511955747090779;2013;1.217857
1.518722801834715;2014;1.064791
